Country,Cases,Inhabitants,Cases Per 100 000 inhabitants
Afghanistan,57534,39540683,145
Albania,129128,2890031,4468
Algeria,119142,44464636,267
Andorra,12641,77471,16317
Angola,23951,33449555,71
Antigua and Barbuda,1209,98760,1224
Argentina,2629156,45565509,5770
Armenia,206142,2976041,6926
Australia,29484,25723124,114
Austria,586883,9045910,6487
Azerbaijan,294211,10230448,2875
Bahamas,9505,396982,2394
Bahrain,160934,1738865,9255
Bangladesh,707362,166681377,424
Barbados,3753,288241,1302
Belarus,340023,9451379,3597
Belgium,939309,11628008,8077
Belize,12529,403775,3102
Benin,7611,12317830,61
Bhutan,934,780684,119
Bolivia,286114,11811801,2422
Bosnia and Herzegovina,187715,3273599,5734
Botswana,44075,2387543,1846
Brazil,13746681,214393462,6411
Brunei,221,442211,49
Bulgaria,382761,6909055,5539
Burkina Faso,13064,21251454,61
Burma,142610,54848699,260
Burundi,3424,12093572,28
Cabo Verde,19780,562461,3516
Cambodia,5218,16938856,30
Cameroon,61731,26958062,228
Canada,1104508,37998307,2906
Central African Republic,5682,4884748,116
Chad,4673,16689257,28
Chile,1101698,19305836,5706
China,102135,1446757893,7
Colombia,2602719,51494377,5054
Comoros,3809,882408,431
Congo (Brazzaville),10084,5602976,693
Congo (Kinshasa),28769,90960000,32
Costa Rica,227533,5145296,4422
Cote d'Ivoire,45444,26773561,169
Croatia,300900,4091793,7353
Cuba,90408,11346474,796
Cyprus,53944,1216679,4433
Czechia,1593847,10721931,14865
Denmark,241023,5919223,4071
Diamond Princess,,,
Djibouti,10275,999706,1027
Dominica,165,72472,227
Dominican Republic,259639,10965209,2367
Ecuador,355431,17880289,1987
Egypt,213798,103727869,206
El Salvador,67099,6546139,1025
Equatorial Guinea,7259,1428088,508
Eritrea,3486,3584132,97
Estonia,116200,1327775,8751
Eswatini,18412,1172027,1570
Ethiopia,236554,116852602,202
Fiji,68,903224,7
Finland,83253,5550886,1499
France,5248853,68325350,7682
Gabon,21566,2260239,954
Gambia,5694,2457051,231
Georgia,292244,3986534,7330
Germany,3110252,83932161,3705
Ghana,91545,31515856,290
Greece,308006,10403960,2960
Grenada,155,113222,136
Guatemala,208694,18194456,1147
Guinea,21299,13355473,159
Guinea-Bissau,3706,1997358,185
Guyana,11527,793026,1453
Haiti,12857,11535710,111
Holy See,27,801,3370
Honduras,198975,10053511,1979
Hungary,736982,9647218,7639
Iceland,6279,343531,1827
India,14291917,1393991220,1025
Indonesia,1589359,276241098,575
Iran,2168872,85036521,2550
Iraq,956860,40872603,2341
Ireland,242402,4980981,4866
Israel,836902,8747888,9566
Italy,3826156,60430659,6331
Jamaica,43240,2983597,1449
Japan,521796,126263669,413
Jordan,679138,10344044,6565
Kazakhstan,333046,18945001,1757
Kenya,149219,54650352,273
South Korea,112789,51491411,219
Kosovo,99210,1930000,5140
Kuwait,253066,4318291,5860
Kyrgyzstan,91144,6609506,1378
Laos,53,7169000,<0
Latvia,109731,1874742,5853
Lebanon,504800,6887726,7328
Lesotho,10709,2156976,496
Liberia,2042,5136524,39
Libya,170558,6958280,2451
Liechtenstein,2780,38283,7261
Lithuania,230462,2703413,8524
Luxembourg,64549,633051,10196
MS Zandaam,,,
Madagascar,30207,28162971,107
Malawi,33902,19457942,174
Malaysia,367977,32763617,1123
Maldives,25939,550377,4712
Mali,12706,20586244,61
Malta,29833,443166,6731
Marshall Islands,4,59826,6
Mauritania,18072,4725381,382
Mauritius,1202,1277635,94
Mexico,2295435,130329171,1761
Micronesia,1,554401,<0
Moldova,244177,4039197,6045
Monaco,2387,39317,6071
Mongolia,18565,3318208,559
Montenegro,95042,629077,15108
Morocco,504260,37329176,1350
Mozambique,69002,31777898,217
Namibia,46185,2574877,1793
Nepal,282054,29617960,952
Netherlands,1402433,17514951,8007
New Zealand,2591,4881196,53
Nicaragua,6778,6706460,101
Niger,5113,24661099,20
Nigeria,164080,208995195,78
North Macedonia,145001,2088601,6942
Norway,106224,5453781,1947
Oman,176668,5194972,3400
Pakistan,745182,224192049,332
Panama,359830,4369216,8235
Papua New Guinea,9188,9066850,101
Paraguay,244528,7221229,3386
Peru,1667737,33388339,4994
Philippines,904285,110894996,815
Poland,2642242,37886821,6974
Portugal,829358,10186330,8141
Qatar,193952,2914066,6655
Romania,1020301,19163611,5324
Russia,4622464,145969709,3166
Rwanda,23744,13169753,180
Saint Kitts and Nevis,44,53637,82
Saint Lucia,4355,185046,2353
Saint Vincent and the Grenadines,1818,111529,1630
Samoa,3,55540,5
San Marino,5010,34035,14720
Sao Tome and Principe,2271,222224,1021
Saudi Arabia,402142,35276694,1139
Senegal,39606,17023778,232
Serbia,654870,8725091,7505
Seychelles,4765,98930,4816
Sierra Leone,4016,8084541,49
Singapore,60735,5899412,1029
Slovakia,373950,5470385,6835
Slovenia,229967,2079841,11056
Solomon Islands,19,698141,2
Somalia,12837,16138856,79
South Africa,1562931,59895107,2609
South Sudan,10416,11289106,92
Spain,3396685,46827790,7253
Sri Lanka,95949,21546867,445
Sudan,32932,44501546,74
Suriname,9458,591816,1598
Sweden,892480,10146031,8796
Switzerland,630194,8704828,7239
Syria,20713,17637072,117
Taiwan*,1068,23925362,4
Tajikistan,13308,9696049,137
Tanzania,509,60774747,<0
Thailand,37453,70107582,53
Timor-Leste,1138,1337116,85
Togo,12214,8403339,145
Trinidad and Tobago,8678,1406426,617
Tunisia,279376,11934653,2340
Turkey,4086957,85289503,4791
US,31495649,336130735,9370
Uganda,41263,46654727,88
Ukraine,1956454,43564349,4490
United Arab Emirates,491423,10017751,4905
United Kingdom,4396096,68729427,6396
Uruguay,156499,3488706,4485
Uzbekistan,85730,33903849,252
Vanuatu,3,312032,<0
Venezuela,179365,28448153,630
Vietnam,2758,98293002,2
West Bank and Gaza,276407,3340143,8275
Yemen,5657,30311376,18
Zambia,90532,18710377,483
Zimbabwe,37422,15044804,248